"Consumer price index in the Republic of Armenia, compared to the previous month (1993-2025) by months and years",,,,,,,,,,,,
Years,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
1993,133.4,141.7,116.6,113.7,124.2,128.7,111.4,124.6,114.5,155.6,537.8,206.3
1994,182.5,118.5,144.5,157.1,156.5,109.1,98.2,103.7,106.3,111.3,114.7,160.8
1995,103.9,100.7,101.2,107.1,107.8,100.6,95.4,97.9,99.9,104.1,102.7,107.6
1996,103.6,103.4,100.2,99.6,100.1,98.7,96.7,100.3,98.9,99.8,102.4,102.0
1997,103.1,101.6,100.8,101.6,103.3,103.9,99.6,99.0,103.4,100.1,101.7,101.9
1998,104.1,103.5,100.3,98.2,98.1,96.9,95.7,97.9,99.9,100.0,101.8,102.8
1999,104.0,100.0,99.4,100.4,100.5,100.0,96.8,99.1,100.3,100.5,100.2,101.0
2000,101.9,100.1,99.6,99.2,99.7,99.7,98.0,98.7,100.3,100.0,100.9,102.4
2001,104.6,99.1,100.0,99.9,101.6,98.7,97.3,99.3,98.8,100.1,101.2,102.4
2002,102.2,99.3,99.4,102.5,101.7,99.5,95.0,97.0,99.4,100.5,102.2,103.6
2003,104.1,98.5,99.5,102.0,101.2,101.4,94.5,97.7,102.5,99.9,102.2,105.2
2004,102.5,99.4,100.3,101.2,101.1,99.9,97.5,97.6,99.3,100.1,100.8,102.3
2005,105.4,99.3,99.1,99.1,100.1,98.6,95.5,98.6,100.9,100.1,101.1,102.3
2006,102.5,100.2,100.1,100.3,102.4,98.8,99.3,99.1,99.7,100.2,101.0,101.6
2007,102.4,100.2,99.4,100.1,102.1,99.7,96.8,98.5,100.7,103.1,102.1,101.5
2008,102.4,101.1,101.4,101.1,101.3,99.5,97.8,99.3,100.5,100.7,100.1,100.1
2009,101.2,98.2,101.4,103.2,101.6,99.7,97.3,99.6,100.7,100.5,101.2,102.0
2010,101.7,100.3,100.8,101.3,101.0,99.2,99.2,101.3,99.8,101.0,101.6,101.8
2011,103.4,100.9,100.8,99.8,100.0,98.6,97.0,99.4,100.8,100.3,101.2,102.5
2012,103.6,99.1,100.1,99.4,98.7,98.7,98.5,99.6,100.8,101.2,101.4,102.1
2013,102.9,99.6,100.4,99.9,100.0,99.9,100.4,100.3,99.8,100.3,100.9,101.1
2014,102.8,98.8,99.6,100.5,99.2,98.2,99.1,100.7,100.4,101.0,101.3,103.0
2015,102.5,99.9,99.9,99.6,99.5,98.6,97.8,100.1,100.1,99.6,100.6,101.7
2016,102.2,98.6,99.7,99.7,99.3,99.5,97.7,99.5,100.1,100.5,101.0,101.1
2017,102.6,99.1,99.7,101.0,99.8,99.1,97.4,99.6,100.2,100.8,102.0,101.5
2018,102.8,99.5,100.1,99.7,99.0,98.4,98.8,100.6,100.3,100.1,101.0,101.5
2019,101.8,100.6,100.1,99.9,99.6,98.1,98.1,99.6,100.2,100.6,101.1,101.3
2020,101.4,99.8,100.5,100.9,99.9,98.6,97.9,99.9,99.8,100.5,101.3,103.4
2021,102.2,100.6,101.0,101.3,99.6,99.2,99.5,100.4,99.9,100.7,101.7,101.6
2022,101.6,100.1,101.8,102.3,100.1,100.3,98.6,100.2,100.6,100.3,101.1,101.1
2023,101.4,100.1,99.3,100.1,98.2,98.6,99.0,100.1,100.9,100.3,100.5,100.9
2024,101.2,99.3,99.8,100.6,99.2,99.1,99.6,100.1,100.2,100.3,101.3,101.0
2025,101.4,100.1,100.5,100.5,100.3,98.7,99.2,100.2,100.3,,,
