Years,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
1999,623.8,609.8,585.7,574.2,573.8,566.1,560.5,574.1,561.1,556.8,541.8,529.9
2000,535.0,520.2,508.5,502.4,483.0,514.8,516.2,490.2,472.1,466.9,474.9,498.0
2001,518.5,508.6,497.5,487.7,486.1,473.7,477.1,498.4,504.9,507.7,501.8,502.8
2002,498.7,491.7,500.5,511.7,531.4,554.4,562.4,546.1,553.3,570.2,584.8,594.8
2003,619.6,631.8,637.2,637.3,677.0,682.3,659.3,643.3,643.8,659.4,660.7,693.4
2004,717.0,713.1,690.1,668.7,662.0,660.3,644.8,630.1,626.4,632.2,651.8,650.8
2005,645.8,616.1,614.6,579.4,571.3,546.4,533.7,566.4,557.5,540.2,540.6,532.7
2006,547.1,537.9,542.0,550.1,560.8,532.4,529.1,514.6,494.1,480.9,483.7,481.8
2007,472.2,464.9,475.6,490.0,478.3,462.8,463.9,459.0,469.9,469.6,465.0,443.2
2008,451.5,455.1,479.1,487.0,478.1,474.6,476.9,451.9,434.7,407.6,389.2,417.2
2009,402.6,390.6,477.3,491.1,508.7,514.2,514.2,532.0,553.1,571.6,577.6,555.5
2010,538.0,520.7,535.0,529.9,483.9,455.9,470.0,473.1,474.5,500.5,494.4,476.4
2011,488.4,498.6,515.8,540.9,537.3,539.3,523.5,526.5,513.4,517.1,519.2,504.6
2012,500.3,514.4,514.2,516.0,509.0,519.8,506.7,509.4,524.5,527.5,522.3,532.3
2013,542.0,544.0,537.0,541.8,539.7,543.6,537.7,542.2,545.0,553.9,546.8,555.7
2014,554.3,561.9,572.5,572.4,567.4,558.4,551.6,545.0,527.5,519.4,523.4,570.9
2015,554.6,543.4,517.3,510.9,536.7,532.8,525.3,534.3,540.4,531.0,515.5,525.2
2016,528.5,547.8,540.6,545.7,540.9,536.6,527.1,532.9,531.5,524.1,517.0,509.5
2017,518.2,517.6,518.0,519.6,534.9,540.7,551.7,565.1,570.3,565.2,569.6,571.9
2018,590.0,594.9,592.3,591.4,572.7,563.8,562.4,557.0,563.7,556.4,552.7,551.6
2019,554.8,554.3,551.4,544.43,537.45,540.18,534.54,529.5,524.4,526.4,527.4,531.2
2020,531.4,522.6,541.1,531.36,526.54,541.78,555.25,574.41,574.0,578.7,591.3,631.2
2021,633.0,633.4,628.0,628.44,633.21,618.42,580.29,578.81,574.8,555.9,545.2,548.2
2022,546.3,544.5,547.8,509.88,482.99,446.99,418.36,410.96,405.4,395.8,403.1,417.7
2023,427.3,421.7,416.1,425.09,419.8,419.13,427.81,421.3,413.5,427.0,434.9,441.5
2024,441.4,436.3,435.1,419.62,419.36,417.56,420.88,427.32,430.3,422.3,413.3,415.3
2025,411.9,411.9,424.5,438.46,436.08,442.55,448.69,445.8,449.2,,,
