Years,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
1995,405.9,405.3,404.0,408.1,408.9,409.4,407.8,409.2,406.9,400.1,402.4,402.7
1996,402.0,402.7,403.4,405.5,406.7,409.2,413.3,418.5,414.0,416.3,431.1,438.8
1997,452.1,466.6,477.7,482.2,492.3,511.4,504.3,502.1,501.1,500.6,499.9,498.8
1998,497.1,499.1,502.1,502.6,503.1,503.0,501.7,501.8,506.4,508.3,515.1,518.4
1999,535.6,543.3,537.2,535.5,538.8,545.3,542.8,540.4,534.2,520.7,523.3,523.8
2000,527.0,527.9,527.5,530.9,534.1,543.6,548.1,540.5,539.8,545.0,555.5,554.5
2001,553.4,552.2,546.0,547.8,553.8,555.1,554.1,554.6,554.1,560.8,564.7,564.6
2002,564.1,565.3,572.1,578.3,580.8,580.7,565.7,558.5,564.5,581.5,584.3,584.6
2003,583.0,586.3,590.4,588.1,586.0,585.2,579.6,578.1,574.8,563.9,564.6,565.3
2004,568.4,564.4,562.9,556.9,552.7,543.9,525.9,517.6,513.4,506.4,502.7,486.3
2005,491.7,473.4,466.0,447.9,449.3,449.0,442.6,461.0,454.4,449.4,458.3,449.4
2006,451.7,450.1,451.0,450.0,439.7,420.6,417.4,401.9,387.9,381.3,376.2,364.6
2007,363.7,356.0,358.6,363.3,353.8,344.8,338.4,336.9,338.2,330.3,316.9,304.1
2008,306.8,308.7,308.6,309.0,307.4,304.9,302.4,302.0,302.6,306.2,305.2,307.8
2009,305.5,305.5,365.7,372.4,372.5,366.7,365.3,372.8,379.9,385.7,387.1,380.5
2010,377.5,380.5,394.2,394.5,385.0,373.5,366.8,366.4,363.4,360.3,361.4,360.5
2011,365.0,365.1,368.4,373.6,374.2,374.6,367.0,367.1,372.3,376.7,382.8,383.2
2012,387.5,388.6,389.1,392.0,397.9,414.6,412.6,410.8,408.6,406.6,407.1,405.5
2013,406.7,407.0,414.7,416.3,415.8,412.6,410.5,407.3,408.2,406.1,405.0,405.3
2014,407.4,411.5,414.2,414.3,413.3,410.9,407.1,409.5,408.8,410.0,420.5,463.5
2015,475.7,478.4,477.7,474.1,480.3,475.1,477.3,479.8,481.1,472.6,480.2,482.9
2016,486.0,493.6,486.3,481.3,478.4,477.5,476.5,475.5,474.1,475.3,478.5,482.8
2017,486.0,486.5,485.8,485.1,483.4,481.5,479.0,478.6,478.2,480.7,485.4,483.2
2018,482.4,481.4,480.4,481.4,484.1,482.6,481.4,482.4,483.8,484.9,486.3,484.7
2019,485.8,488.4,487.5,484.3,480.6,478.5,476.5,476.0,476.2,476.3,477.1,478.2
2020,479.2,478.7,489.0,488.7,484.1,481.3,484.7,485.5,486.7,491.7,499.6,518.9
2021,521.2,523.5,527.7,525.6,521.4,513.1,490.9,491.7,488.1,479.3,477.7,485.1
2022,482.0,480.2,497.0,471.0,456.5,422.7,411.0,405.8,409.2,402.7,395.4,394.5
2023,395.9,393.5,388.4,387.7,386.6,386.7,386.5,386.2,386.9,404.3,402.5,404.5
2024,405.0,404.3,400.4,391.0,387.8,388.1,388.1,388.1,387.4,387.2,389.0,396.6
2025,397.9,395.6,392.8,390.7,386.6,384.2,384.1,383.2,382.8,,,
